rank	country	code	point	prev_point	prev_rank
1	Brazil	BRA	65	64	0
2	Germany	GER	63	64	0
3	France	FRA	61	61	0
4	Spain	ESP	61	60	3
5	Denmark	DEN	61	61	-1
6	Czech Republic	CZE	60	60	0
7	Italy	ITA	60	57	3
8	Colombia	COL	59	61	-3
9	Romania	ROU	59	55	6
10	Netherlands	NED	59	59	-1
11	Russia	RUS	58	59	-3
12	Mexico	MEX	57	56	-1
13	Bulgaria	BUL	56	55	1
14	England	ENG	56	56	-2
15	Portugal	POR	54	55	-2
16	Japan	JPN	54	52	3
17	Sweden	SWE	54	55	-1
18	Norway	NOR	54	54	-1
19	Argentina	ARG	54	52	-1
20	Slovakia	SVK	52	51	4
21	USA	USA	52	51	1
22	Zambia	ZAM	52	51	-2
23	Paraguay	PAR	51	47	8
24	Scotland	SCO	51	48	3
25	South Africa	RSA	51	51	-2
26	Chile	CHI	50	51	-5
27	Saudi Arabia	KSA	50	45	9
28	Croatia	CRO	49	51	-3
29	Tunisia	TUN	49	50	-3
29	Greece	GRE	49	45	11
31	Turkey	TUR	48	47	-2
32	Bolivia	BOL	48	45	5
33	Australia	AUS	48	46	0
34	Korea Republic	KOR	48	45	7
35	Ecuador	ECU	47	46	0
36	Egypt	EGY	47	47	-4
37	Jamaica	JAM	47	47	-7
38	Morocco	MAR	46	48	-10
39	Belgium	BEL	46	43	5
40	Ghana	GHA	45	45	-2
41	Republic of Ireland	IRL	45	45	-2
42	Uruguay	URU	45	44	1
43	Cote d`Ivoire	CIV	45	43	4
44	Trinidad and Tobago	TRI	44	44	-2
45	Peru	PER	44	43	0
46	Yugoslavia	YUG	44	41	8
47	Austria	AUT	43	46	-13
48	Ukraine	UKR	43	37	19
49	Zimbabwe	ZIM	43	42	1
50	Honduras	HON	43	43	-4
51	Switzerland	SUI	43	42	0
52	Poland	POL	43	40	4
53	Israel	ISR	42	42	-1
54	Lithuania	LTU	42	43	-5
55	Canada	CAN	42	43	-7
56	Algeria	ALG	41	41	-3
57	Costa Rica	CRC	41	37	9
58	Gabon	GAB	41	41	-3
59	Guinea	GUI	41	39	-2
60	China PR	CHN	40	33	19
61	Thailand	THA	40	38	0
62	Cameroon	CMR	40	39	-3
63	Northern Ireland	NIR	40	36	5
64	Senegal	SEN	39	39	-6
65	Mali	MLI	38	39	-5
66	Kuwait	KUW	38	36	3
67	Zaire	ZAI	38	37	-4
68	United Arab Emirates	UAE	36	37	-4
69	Finland	FIN	35	33	9
70	Togo	TOG	35	35	0
71	Nigeria	NGA	35	37	-7
72	Hungary	HUN	35	34	4
73	Cuba	CUB	35	35	-2
74	Angola	ANG	35	35	-2
75	Qatar	QAT	35	35	-2
76	Iceland	ISL	35	37	-14
77	El Salvador	SLV	34	34	-3
78	Cyprus	CYP	34	33	-1
79	Mozambique	MOZ	34	32	4
80	FYR Macedonia	MKD	34	32	5
81	Wales	WAL	34	33	1
82	Sudan	SDN	33	34	-7
83	Slovenia	SVN	33	29	6
84	Malaysia	MAS	33	27	13
85	Iraq	IRQ	33	27	13
86	Malawi	MWI	32	29	2
87	Uganda	UGA	32	33	-7
87	Iran	IRN	32	33	-6
89	Latvia	LVA	32	32	-5
90	Oman	OMA	31	29	2
91	Sierra Leone	SLE	30	31	-5
92	Namibia	NAM	30	27	9
93	Lebanon	LIB	30	30	-6
94	Tanzania	TAN	29	29	-4
95	Belarus	BLR	29	29	-4
96	Estonia	EST	31	25	8
97	Liberia	LBR	28	27	3
98	Congo	CGO	28	28	-4
99	St. Vincent and the Grenadines	VIN	0	28	-6
100	Georgia	GEO	30	27	-4
