rank	country	code	point	prev_point	prev_rank	
1	Brazil	BRA	72	72	0
2	Spain	ESP	65	61	4
3	Germany	GER	63	63	-1
4	Czech Republic	CZE	61	57	10
5	Romania	ROU	61	62	-2
6	Denmark	DEN	60	61	-1
7	England	ENG	60	60	0
8	Netherlands	NED	60	62	-4
9	Russia	RUS	60	57	7
10	Mexico	MEX	59	59	1
11	Colombia	COL	59	60	-2
12	Norway	NOR	59	60	-4
13	Argentina	ARG	58	59	-3
14	France	FRA	57	57	3
15	Morocco	MAR	57	57	0
16	Italy	ITA	57	58	-4
17	Sweden	SWE	57	55	4
18	Bulgaria	BUL	56	58	-5
19	Zambia	ZAM	56	55	0
20	Japan	JPN	56	56	-2
21	Portugal	POR	55	54	3
22	Bolivia	BOL	55	54	1
23	Austria	AUT	55	54	3
24	Tunisia	TUN	55	55	-4
25	Scotland	SCO	54	54	2
26	South Africa	RSA	53	54	-1
27	Chile	CHI	53	53	2
28	Paraguay	PAR	53	53	0
29	Croatia	CRO	53	51	4
30	Slovakia	SVK	53	55	-8
31	Ecuador	ECU	53	52	-1
32	Egypt	EGY	52	52	-1
33	Australia	AUS	52	50	3
34	Korea Republic	KOR	52	51	1
35	USA	USA	52	52	-3
36	Yugoslavia	YUG	52	50	1
37	Saudi Arabia	KSA	51	49	1
38	Peru	PER	51	51	-4
39	Turkey	TUR	51	49	0
40	Jamaica	JAM	50	49	0
41	Greece	GRE	50	49	0
42	Lithuania	LTU	48	48	1
43	Republic of Ireland	IRL	47	48	-1
44	Cameroon	CMR	47	47	0
45	Poland	POL	47	45	5
46	Cote d`Ivoire	CIV	46	46	0
47	Kuwait	KUW	46	45	2
48	Belgium	BEL	46	46	0
49	Iran	IRN	45	44	4
50	Ghana	GHA	45	47	-5
51	Ukraine	UKR	45	44	1
52	Uruguay	URU	44	46	-5
53	Algeria	ALG	44	45	-2
54	China PR	CHN	44	43	4
55	Angola	ANG	44	43	1
56	Costa Rica	CRC	44	44	-1
57	Trinidad and Tobago	TRI	43	43	3
58	Israel	ISR	42	44	-4
59	Finland	FIN	42	42	2
60	United Arab Emirates	UAE	42	40	7
61	Honduras	HON	42	43	-4
62	Canada	CAN	42	43	-3
63	Gabon	GAB	42	42	-1
64	Switzerland	SUI	41	41	1
65	Thailand	THA	41	38	5
66	Guinea	GUI	41	41	-2
67	Nigeria	NGA	41	42	-4
68	Hungary	HUN	40	38	3
69	Mozambique	MOZ	40	40	-1
70	El Salvador	SLV	39	38	3
71	Iceland	ISL	38	35	12
72	Zimbabwe	ZIM	38	40	-6
73	Latvia	LVA	38	39	-4
74	Georgia	GEO	37	32	20
75	Northern Ireland	NIR	37	38	-3
76	Iraq	IRQ	37	37	-1
77	Cyprus	CYP	37	35	4
78	Zaire	ZAI	37	37	0
79	Togo	TOG	37	37	-3
80	Sierra Leone	SLE	36	37	-1
81	Senegal	SEN	36	37	-7
82	FYR Macedonia	MKD	36	35	-2
83	Uzbekistan	UZB	35	35	-1
84	Malaysia	MAS	35	33	4
85	Namibia	NAM	35	35	-1
86	Mali	MLI	34	37	-9
87	Oman	OMA	34	34	-1
88	Guatemala	GUA	34	33	2
89	Lebanon	LIB	33	33	-2
90	Slovenia	SVN	32	32	2
91	Malawi	MWI	32	33	-2
92	Kenya	KEN	32	30	7
93	Liberia	LBR	32	33	-2
94	Tanzania	TAN	32	32	-1
95	Uganda	UGA	32	32	0
96	Qatar	QAT	31	34	-11
97	Congo	CGO	0	31	-1
98	Wales	WAL	31	30	0
99	Syria	SYR	30	30	-2
100	Indonesia	IDN	30	26	9
