rank	country	code	point	prev_point	prev_rank
1	Spain	ESP	1460	1460	0
2	Germany	GER	1340	1340	0
3	Portugal	POR	1245	1245	0
4	Brazil	BRA	1210	1174	2
5	Colombia	COL	1186	1186	-1
6	Uruguay	URU	1181	1181	-1
7	Argentina	ARG	1178	1174	-1
8	Switzerland	SUI	1161	1161	0
9	Italy	ITA	1115	1115	0
10	Greece	GRE	1082	1082	0
11	England	ENG	1043	1043	0
12	Belgium	BEL	1039	1039	0
13	Chile	CHI	1037	1011	1
14	USA	USA	1015	1015	-1
15	Netherlands	NED	967	967	0
16	France	FRA	935	935	0
17	Ukraine	UKR	913	913	0
18	Russia	RUS	903	903	0
19	Mexico	MEX	877	876	0
20	Croatia	CRO	871	871	0
21	Cote d`Ivoire	CIV	830	830	0
22	Scotland	SCO	825	825	0
23	Denmark	DEN	819	819	0
24	Egypt	EGY	798	798	0
25	Bosnia and Herzegovina	BIH	795	795	0
25	Sweden	SWE	795	795	0
25	Algeria	ALG	795	795	0
28	Ecuador	ECU	794	790	0
29	Slovenia	SVN	787	787	0
30	Serbia	SRB	759	759	0
30	Honduras	HON	759	754	2
32	Romania	ROU	756	756	-1
33	Armenia	ARM	750	750	0
34	Costa Rica	CRC	748	744	0
35	Panama	PAN	739	739	0
36	Czech Republic	CZE	731	731	0
37	Iran	IRN	715	715	0
38	Ghana	GHA	713	713	0
39	Turkey	TUR	711	711	0
40	Austria	AUT	673	673	0
41	Venezuela	VEN	666	670	0
42	Peru	PER	665	653	1
42	Cape Verde Islands	CPV	665	665	0
44	Nigeria	NGA	631	620	1
45	Hungary	HUN	623	623	-1
46	Slovakia	SVK	616	616	0
47	Japan	JPN	613	613	0
47	Wales	WAL	613	613	0
49	Tunisia	TUN	597	597	0
50	Cameroon	CMR	583	583	0
51	Guinea	GUI	580	580	0
52	Finland	FIN	578	578	0
53	Uzbekistan	UZB	577	577	0
54	Montenegro	MNE	555	555	0
55	Korea Republic	KOR	551	551	1
55	Norway	NOR	551	551	1
55	Paraguay	PAR	551	555	-1
58	Iceland	ISL	546	546	0
59	Mali	MLI	545	545	0
59	Australia	AUS	545	545	0
61	Burkina Faso	BFA	528	528	0
62	Libya	LBY	522	522	0
63	Senegal	SEN	511	511	0
64	Jordan	JOR	510	510	0
65	South Africa	RSA	507	500	1
66	Republic of Ireland	IRL	504	504	-1
67	United Arab Emirates	UAE	499	499	0
68	Bolivia	BOL	497	497	0
69	El Salvador	SLV	488	488	0
70	Albania	ALB	486	486	0
71	Sierra Leone	SLE	484	484	0
72	Poland	POL	479	479	0
73	Bulgaria	BUL	460	460	0
74	Trinidad and Tobago	TRI	457	454	2
75	Saudi Arabia	KSA	455	455	0
76	Morocco	MAR	454	454	0
77	Haiti	HAI	452	446	2
78	Israel	ISR	450	450	0
79	Zambia	ZAM	448	456	-5
80	FYR Macedonia	MKD	443	443	0
81	Jamaica	JAM	420	414	1
82	Oman	OMA	418	418	-1
83	Belarus	BLR	404	404	0
84	Northern Ireland	NIR	400	400	0
85	Azerbaijan	AZE	398	398	0
86	Uganda	UGA	395	395	0
87	Gabon	GAB	386	386	0
88	Congo DR	COD	380	380	0
89	Togo	TOG	374	374	0
90	Cuba	CUB	371	371	0
91	Botswana	BOT	369	369	0
92	Congo	CGO	367	367	0
93	Estonia	EST	366	366	0
94	Angola	ANG	347	347	0
95	Qatar	QAT	338	336	0
96	China PR	CHN	333	333	0
97	Benin	BEN	332	332	0
98	Zimbabwe	ZIM	327	329	0
99	Moldova	MDA	325	325	0
100	Iraq	IRQ	321	324	0
