rank	country	code	point	prev_point	prev_rank
1	Brazil	BRA	845	848	0
2	France	FRA	799	802	0
3	Argentina	ARG	778	775	1
4	Spain	ESP	774	788	-1
5	Netherlands	NED	755	746	1
6	Czech Republic	CZE	751	760	-1
7	England	ENG	739	732	0
8	Italy	ITA	735	722	1
8	Portugal	POR	735	714	3
10	Mexico	MEX	734	728	-2
11	USA	USA	717	717	-1
12	Turkey	TUR	711	711	1
13	Germany	GER	706	714	-2
14	Republic of Ireland	IRL	705	697	2
15	Denmark	DEN	704	707	0
16	Greece	GRE	703	709	-2
17	Uruguay	URU	702	693	2
18	Nigeria	NGA	701	691	2
19	Japan	JPN	699	695	-1
20	Iran	IRN	698	690	1
21	Cameroon	CMR	690	697	-5
22	Sweden	SWE	687	686	0
23	Paraguay	PAR	686	683	0
23	Croatia	CRO	686	662	2
25	Korea Republic	KOR	681	683	-2
26	Romania	ROU	664	644	6
27	Saudi Arabia	KSA	662	655	0
28	Colombia	COL	660	654	0
29	Poland	POL	652	647	0
30	Egypt	EGY	649	637	5
31	Senegal	SEN	643	645	0
32	Costa Rica	CRC	642	642	1
33	Russia	RUS	641	659	-7
34	Morocco	MAR	639	642	-1
35	Belgium	BEL	635	647	-6
36	Tunisia	TUN	630	631	0
37	Norway	NOR	610	610	1
38	Jordan	JOR	609	615	-1
39	Iraq	IRQ	607	601	1
40	South Africa	RSA	604	609	-1
41	Bulgaria	BUL	601	595	0
42	Switzerland	SUI	596	569	7
43	Slovenia	SVN	595	579	3
44	Mali	MLI	590	588	-1
45	Finland	FIN	585	563	8
45	Cote d`Ivoire	CIV	585	555	13
47	Bahrain	BHR	584	580	-3
48	Ecuador	ECU	583	594	-6
49	China PR	CHN	579	572	-1
50	Oman	OMA	578	568	0
51	Zimbabwe	ZIM	577	580	-7
51	Jamaica	JAM	577	563	2
53	Honduras	HON	576	573	-6
54	Uzbekistan	UZB	571	566	-3
55	Serbia and Montenegro	SCG	570	566	-4
56	Israel	ISR	567	534	13
57	Slovakia	SVK	563	533	14
57	Wales	WAL	563	556	0
59	Venezuela	VEN	562	559	-4
60	Kuwait	KUW	559	559	-5
61	Guatemala	GUA	558	542	3
62	Qatar	QAT	557	550	-1
63	Latvia	LVA	556	552	-3
64	Australia	AUS	547	555	-6
64	Trinidad and Tobago	TRI	547	538	1
66	Algeria	ALG	545	550	-5
67	Zambia	ZAM	541	529	5
68	Libya	LBY	540	526	5
68	Peru	PER	540	547	-5
68	Scotland	SCO	540	535	-1
68	Hungary	HUN	540	523	8
72	Ghana	GHA	539	525	2
73	Belarus	BLR	537	520	4
74	Thailand	THA	530	535	-7
75	Angola	ANG	528	512	7
76	Congo DR	COD	527	519	3
77	Estonia	EST	526	513	4
77	Cuba	CUB	526	525	-3
79	Chile	CHI	525	537	-13
80	Ukraine	UKR	524	499	7
81	Bosnia and Herzegovina	BIH	523	534	-12
82	Burkina Faso	BFA	522	511	1
83	Kenya	KEN	521	510	1
84	United Arab Emirates	UAE	519	520	-7
85	Austria	AUT	518	488	5
86	Guinea	GUI	517	495	3
87	Syria	SYR	515	510	-3
88	Iceland	ISL	508	514	-8
89	Albania	ALB	498	479	5
90	New Zealand	NZL	495	501	-4
91	Togo	TOG	494	472	6
92	FYR Macedonia	MKD	492	496	-4
93	Turkmenistan	TKM	484	486	-2
94	Indonesia	IDN	483	484	-2
95	Canada	CAN	477	469	4
96	Vietnam	VIE	0	479	-2
97	Rwanda	RWA	469	471	1
98	Haiti	HAI	463	475	-2
99	Bolivia	BOL	462	480	-6
100	Congo	CGO	0	468	0
