rank	country	code	point	prev_point	prev_rank	
1	Brazil	BRA	58	58	1
2	Germany	GER	58	58	-1
3	Norway	NOR	57	58	0
4	Switzerland	SUI	55	56	1
5	Nigeria	NGA	55	49	13
6	Denmark	DEN	55	56	-2
7	Spain	ESP	55	55	-1
8	Netherlands	NED	55	55	1
9	Sweden	SWE	54	55	-2
10	Argentina	ARG	54	55	-2
11	Romania	ROU	53	54	-1
12	Russia	RUS	51	51	4
13	Mexico	MEX	51	51	1
13	Italy	ITA	51	53	-2
15	France	FRA	51	51	0
16	England	ENG	51	53	-4
17	Republic of Ireland	IRL	50	52	-4
17	Uruguay	URU	50	50	0
19	Zambia	ZAM	49	45	3
20	Colombia	COL	48	48	0
21	Cote d`Ivoire	CIV	48	43	7
22	Portugal	POR	47	49	-3
23	USA	USA	46	46	-2
24	Egypt	EGY	45	44	1
25	Bulgaria	BUL	44	45	-2
26	Morocco	MAR	44	43	3
27	Cameroon	CMR	44	43	-1
28	Poland	POL	44	44	-4
29	Ghana	GHA	43	41	2
30	Tunisia	TUN	42	40	2
31	Scotland	SCO	41	42	-1
32	Wales	WAL	40	43	-5
33	Belgium	BEL	40	40	0
34	Saudi Arabia	KSA	38	39	2
35	Northern Ireland	NIR	38	35	7
36	Austria	AUT	38	39	-1
37	Greece	GRE	37	39	-3
38	Algeria	ALG	37	37	-1
39	Finland	FIN	36	36	-1
40	Korea Republic	KOR	36	35	0
41	Zimbabwe	ZIM	35	35	0
42	Japan	JPN	35	36	-3
43	Iceland	ISL	35	35	0
44	Australia	AUS	34	34	1
45	Ecuador	ECU	34	34	1
46	Chile	CHI	34	31	9
47	Bolivia	BOL	34	31	9
48	Mali	MLI	33	31	9
49	Costa Rica	CRC	33	33	-1
50	China PR	CHN	33	33	-1
51	Honduras	HON	33	33	-4
52	Israel	ISR	32	32	2
53	Hungary	HUN	32	32	-1
54	Slovakia	SVK	31	29	6
55	Canada	CAN	31	35	-11
56	United Arab Emirates	UAE	31	33	-6
57	Turkey	TUR	31	32	-6
58	Senegal	SEN	31	30	0
59	Iran	IRN	30	30	0
60	Qatar	QAT	29	32	-7
61	Paraguay	PAR	28	28	3
62	Kuwait	KUW	28	28	4
63	Czech Republic	CZE	28	24	4
64	Guinea	GUI	28	29	-2
65	Iraq	IRQ	27	27	3
66	Zaire	ZAI	27	22	11
67	Gabon	GAB	27	29	-6
68	Korea DPR	PRK	26	28	-3
69	Thailand	THA	25	25	1
70	Sierra Leone	SLE	24	24	3
71	Cyprus	CYP	24	26	-2
72	Peru	PER	24	24	0
73	El Salvador	SLV	23	28	-10
74	Yugoslavia	YUG	22	24	0
75	Singapore	SIN	22	23	0
75	Jamaica	JAM	22	23	1
77	Niger	NIG	21	21	3
78	Kenya	KEN	21	22	1
79	New Zealand	NZL	21	21	2
80	Malta	MLT	21	22	-2
81	Malawi	MWI	20	25	-10
82	Bahrain	BHR	20	20	0
83	Oman	OMA	20	20	0
84	Malaysia	MAS	19	19	0
85	Syria	SYR	19	19	0
86	Bermuda	BER	18	18	1
87	Lithuania	LTU	17	18	-1
88	Latvia	LVA	17	17	1
89	Jordan	JOR	16	17	-1
90	Ukraine	UKR	16	16	0
91	Yemen	YEM	15	15	0
92	South Africa	RSA	15	15	0
93	Venezuela	VEN	15	15	1
94	Albania	ALB	15	15	1
95	Trinidad and Tobago	TRI	15	15	-2
96	Uganda	UGA	16	15	0
97	Hong Kong	HKG	15	13	2
98	Tanzania	TAN	13	13	2
99	Barbados	BRB	13	13	2
100	Swaziland	SWZ	13	13	2
