rank	country	code	point	prev_point	prev_rank
1	Brazil	BRA	849	835	0
2	France	FRA	809	813	0
3	Spain	ESP	790	792	0
4	Argentina	ARG	774	722	7
5	Czech Republic	CZE	762	762	-1
6	Netherlands	NED	747	748	-1
7	England	ENG	732	733	1
8	Mexico	MEX	731	743	-2
9	Italy	ITA	728	729	0
10	Turkey	TUR	719	723	0
10	USA	USA	719	735	-3
12	Portugal	POR	714	715	0
13	Germany	GER	712	715	-1
14	Greece	GRE	710	710	0
15	Denmark	DEN	703	706	0
16	Cameroon	CMR	700	702	0
16	Republic of Ireland	IRL	700	702	0
18	Nigeria	NGA	696	697	0
19	Uruguay	URU	691	638	13
20	Japan	JPN	685	660	4
20	Sweden	SWE	685	686	-1
22	Korea Republic	KOR	684	670	-2
22	Paraguay	PAR	684	650	7
24	Iran	IRN	680	664	-3
25	Croatia	CRO	659	662	-2
26	Saudi Arabia	KSA	656	664	-5
27	Russia	RUS	653	655	-1
28	Poland	POL	652	653	-1
28	Colombia	COL	652	622	8
28	Costa Rica	CRC	652	650	1
31	Belgium	BEL	650	660	-7
31	Senegal	SEN	650	651	-3
33	Morocco	MAR	644	646	-2
34	Egypt	EGY	637	637	0
35	Romania	ROU	636	638	-3
36	Tunisia	TUN	633	634	-1
37	Jordan	JOR	616	605	3
38	Norway	NOR	612	613	0
39	Ecuador	ECU	604	616	-2
40	Iraq	IRQ	601	582	3
41	South Africa	RSA	599	610	-2
42	Bulgaria	BUL	596	602	-1
43	Slovenia	SVN	586	598	-1
44	Serbia and Montenegro	SCG	583	574	4
45	Bahrain	BHR	582	559	6
46	Mali	MLI	577	576	0
47	Zimbabwe	ZIM	573	576	-1
47	Switzerland	SUI	573	577	-2
49	Finland	FIN	570	578	-5
50	Oman	OMA	569	548	8
51	China PR	CHN	566	535	13
51	Uzbekistan	UZB	566	513	29
53	Venezuela	VEN	562	562	-3
54	Jamaica	JAM	559	565	-5
54	Kuwait	KUW	559	552	2
56	Latvia	LVA	554	555	-3
57	Australia	AUS	553	556	-5
58	Algeria	ALG	551	550	-1
59	Honduras	HON	550	553	-5
59	Qatar	QAT	550	553	-5
61	Peru	PER	547	518	14
62	Scotland	SCO	542	545	-3
62	Israel	ISR	542	544	-2
64	Cote d`Ivoire	CIV	539	539	-2
64	Wales	WAL	539	541	-3
64	Thailand	THA	539	535	0
67	Trinidad and Tobago	TRI	535	536	-4
67	Chile	CHI	535	534	-1
69	Zambia	ZAM	528	521	5
70	Ghana	GHA	527	523	1
71	Libya	LBY	526	525	-1
71	Slovakia	SVK	526	534	-5
71	Congo DR	COD	526	532	-2
74	Cuba	CUB	525	534	-8
75	United Arab Emirates	UAE	521	523	-4
76	Bosnia and Herzegovina	BIH	519	522	-3
77	Hungary	HUN	514	514	1
78	Angola	ANG	511	514	0
79	Iceland	ISL	509	518	-4
79	Burkina Faso	BFA	509	513	1
79	Guatemala	GUA	509	501	9
82	Syria	SYR	508	508	2
83	Belarus	BLR	507	507	2
83	Estonia	EST	507	512	-1
85	Ukraine	UKR	506	515	-8
86	New Zealand	NZL	505	510	-3
87	Kenya	KEN	500	502	-1
87	Guinea	GUI	500	501	1
89	Austria	AUT	495	502	-3
90	Turkmenistan	TKM	486	481	3
91	Indonesia	IDN	485	472	5
92	FYR Macedonia	MKD	483	484	0
93	Bolivia	BOL	480	463	6
94	Albania	ALB	479	480	0
95	Haiti	HAI	478	486	-4
96	Canada	CAN	473	495	-6
96	Togo	TOG	473	474	-1
98	Congo	CGO	470	468	-1
99	Rwanda	RWA	461	467	-1
100	Uganda	UGA	0	461	0
