rank	country	code	point	prev_point	prev_rank	
1	Spain	ESP	1883	1883	0
2	Netherlands	NED	1659	1659	0
3	Brazil	BRA	1524	1536	0
4	Germany	GER	1464	1464	0
5	Argentina	ARG	1288	1289	0
6	Uruguay	URU	1152	1152	0
7	England	ENG	1125	1125	0
8	Portugal	POR	1062	1062	0
9	Egypt	EGY	1053	1053	0
10	Chile	CHI	988	988	0
11	Italy	ITA	982	982	0
12	Greece	GRE	975	975	0
13	Serbia	SRB	969	969	0
14	Croatia	CRO	968	968	1
15	Paraguay	PAR	961	961	1
16	Russia	RUS	956	956	1
17	Switzerland	SUI	940	940	1
18	USA	USA	931	969	-5
19	Slovenia	SVN	917	917	0
20	Australia	AUS	911	911	0
21	France	FRA	890	890	0
22	Norway	NOR	878	878	0
23	Ghana	GHA	874	874	0
24	Ukraine	UKR	870	870	1
25	Mexico	MEX	853	872	-1
26	Cote d`Ivoire	CIV	843	843	0
27	Slovakia	SVK	829	829	0
28	Turkey	TUR	810	810	0
29	Denmark	DEN	785	785	0
30	Nigeria	NGA	773	773	0
31	Czech Republic	CZE	769	769	0
32	Japan	JPN	768	768	0
33	Algeria	ALG	759	759	0
34	Gabon	GAB	755	755	0
35	Sweden	SWE	747	747	0
36	Republic of Ireland	IRL	734	734	0
36	Colombia	COL	734	725	3
38	Israel	ISR	733	733	-1
39	Peru	PER	726	726	-1
40	Cameroon	CMR	710	710	0
41	Scotland	SCO	699	699	0
42	Romania	ROU	697	697	0
43	Bulgaria	BUL	672	672	0
44	Korea Republic	KOR	651	660	0
45	Burkina Faso	BFA	646	646	0
46	Honduras	HON	627	644	0
47	Venezuela	VEN	592	592	0
48	Belgium	BEL	589	589	0
49	Latvia	LVA	579	579	1
50	Bolivia	BOL	577	570	3
51	Finland	FIN	576	576	0
52	Lithuania	LTU	571	571	0
53	Costa Rica	CRC	562	584	-4
54	New Zealand	NZL	557	557	0
55	Mali	MLI	548	548	0
56	Poland	POL	547	547	0
57	Bosnia and Herzegovina	BIH	546	546	0
58	Ecuador	ECU	545	545	0
59	Northern Ireland	NIR	540	540	0
60	Austria	AUT	536	536	0
61	Benin	BEN	535	535	0
62	Hungary	HUN	534	534	0
63	Cyprus	CYP	523	523	0
64	Tunisia	TUN	519	519	1
65	Iran	IRN	517	522	-1
66	FYR Macedonia	MKD	504	504	0
66	South Africa	RSA	504	504	0
68	Bahrain	BHR	466	460	1
69	Uganda	UGA	459	457	1
70	Albania	ALB	455	455	1
70	Saudi Arabia	KSA	455	471	-2
72	Zambia	ZAM	449	446	1
73	Montenegro	MNE	448	448	-1
74	Malawi	MWI	424	425	0
75	Togo	TOG	421	421	0
76	Trinidad and Tobago	TRI	418	405	0
77	China PR	CHN	406	393	1
78	Belarus	BLR	403	403	-1
79	Iceland	ISL	385	385	0
80	Mozambique	MOZ	381	377	0
81	Oman	OMA	377	374	0
82	Jamaica	JAM	372	368	1
83	Morocco	MAR	371	371	-1
84	Wales	WAL	366	366	0
85	Kuwait	KUW	365	365	0
86	El Salvador	SLV	545	343	4
87	Angola	ANG	357	356	-1
88	Uzbekistan	UZB	351	352	-1
89	Moldova	MDA	350	350	0
90	United Arab Emirates	UAE	348	351	-2
91	Senegal	SEN	338	338	0
92	Syria	SYR	336	334	0
93	Botswana	BOT	329	331	0
94	Libya	LBY	381	318	2
94	Estonia	EST	321	321	1
96	Armenia	ARM	336	318	0
97	Panama	PAN	314	323	-3
98	Jordan	JOR	300	300	0
98	Qatar	QAT	0	300	0
100	Korea DPR	PRK	300	284	3
