rank	country	code	point	prev_point	prev_rank	
1	Brazil	BRA	73	73	0
2	France	FRA	68	69	0
3	Germany	GER	67	67	0
4	Croatia	CRO	66	66	0
5	Argentina	ARG	66	65	0
6	Czech Republic	CZE	64	64	1
7	Yugoslavia	YUG	64	64	1
8	Italy	ITA	64	65	-2
9	Netherlands	NED	62	62	0
10	Mexico	MEX	62	61	1
11	England	ENG	61	62	-1
12	Romania	ROU	59	59	0
13	Morocco	MAR	59	59	0
14	Norway	NOR	59	59	0
15	Spain	ESP	58	58	1
16	Chile	CHI	57	58	-1
17	Sweden	SWE	56	54	8
18	Denmark	DEN	55	55	0
19	Korea Republic	KOR	55	55	0
20	Tunisia	TUN	54	53	6
21	Austria	AUT	54	54	1
22	USA	USA	54	57	-5
23	Egypt	EGY	54	55	-3
24	Paraguay	PAR	54	54	0
25	Kuwait	KUW	54	48	13
26	Zambia	ZAM	54	54	-3
27	Saudi Arabia	KSA	52	52	3
28	South Africa	RSA	52	52	0
29	Poland	POL	52	50	5
30	Japan	JPN	52	54	-9
31	Slovakia	SVK	52	52	-2
32	Colombia	COL	51	53	-5
33	Jamaica	JAM	51	51	-1
34	Belgium	BEL	51	52	-3
35	Australia	AUS	51	51	-2
36	Scotland	SCO	49	49	1
37	Russia	RUS	49	49	-2
38	Israel	ISR	49	49	-2
39	Cameroon	CMR	48	47	1
40	Portugal	POR	47	48	-1
41	Cote d`Ivoire	CIV	47	46	2
42	United Arab Emirates	UAE	46	42	16
43	Ukraine	UKR	46	47	-1
44	Iran	IRN	46	45	0
45	Hungary	HUN	46	44	4
46	Bulgaria	BUL	45	45	-1
47	Uruguay	URU	45	47	-6
48	Ghana	GHA	44	45	-2
49	Trinidad and Tobago	TRI	44	44	-2
50	Angola	ANG	44	44	-2
51	Thailand	THA	43	43	-1
52	Finland	FIN	43	43	1
53	Mali	MLI	42	42	1
54	Greece	GRE	42	42	1
55	Georgia	GEO	42	42	4
56	Turkey	TUR	42	42	4
57	Republic of Ireland	IRL	42	43	-5
58	Lithuania	LTU	41	41	3
59	Iceland	ISL	41	41	3
60	Bolivia	BOL	41	41	3
61	Algeria	ALG	41	40	8
62	Zaire	ZAI	41	41	3
63	Ecuador	ECU	40	40	3
64	FYR Macedonia	MKD	40	40	3
65	Nigeria	NGA	40	40	3
66	Costa Rica	CRC	40	43	-15
67	Guinea	GUI	40	40	3
68	Namibia	NAM	40	39	5
69	China PR	CHN	40	42	-12
70	Peru	PER	39	41	-6
71	Oman	OMA	39	27	37
72	Zimbabwe	ZIM	39	38	3
73	Togo	TOG	39	40	-2
74	Cyprus	CYP	39	35	6
75	Burkina Faso	BFA	39	39	-3
76	Latvia	LVA	38	38	-2
77	Qatar	QAT	38	42	-21
78	Mozambique	MOZ	37	37	-2
79	Singapore	SIN	37	37	-2
80	Senegal	SEN	36	36	-2
81	Gabon	GAB	36	36	-2
82	Switzerland	SUI	35	35	-1
83	Guatemala	GUA	35	35	-1
84	Slovenia	SVN	34	35	0
85	Indonesia	IDN	34	34	0
86	Estonia	EST	34	34	0
87	Malawi	MWI	33	33	1
88	Northern Ireland	NIR	33	33	-1
89	Syria	SYR	33	29	13
90	El Salvador	SLV	33	35	-7
91	Kenya	KEN	33	33	-2
92	Wales	WAL	32	33	-2
93	Bosnia and Herzegovina	BIH	32	32	-2
94	Canada	CAN	34	31	-1
95	Honduras	HON	31	31	-1
96	Vietnam	VIE	30	30	1
97	Lebanon	LIB	30	26	15
98	Uganda	UGA	0	31	-2
99	Belarus	BLR	32	30	-1
100	New Zealand	NZL	30	30	0
