rank	country	code	point	prev_point	prev_rank
1	Spain	ESP	1538	1538	0
2	Germany	GER	1428	1428	0
3	Argentina	ARG	1296	1292	0
4	Croatia	CRO	1191	1191	0
5	Portugal	POR	1163	1163	0
6	Colombia	COL	1154	1154	0
7	England	ENG	1135	1135	0
8	Italy	ITA	1117	1117	0
9	Netherlands	NED	1093	1093	0
10	Ecuador	ECU	1058	1056	0
11	Russia	RUS	1052	1052	0
12	Cote d`Ivoire	CIV	1008	1008	0
13	Greece	GRE	986	986	0
14	Switzerland	SUI	967	967	1
15	Belgium	BEL	953	953	1
16	Mexico	MEX	945	971	-2
17	Uruguay	URU	932	932	0
18	France	FRA	914	914	0
19	Brazil	BRA	902	909	0
20	Denmark	DEN	900	900	0
21	Bosnia and Herzegovina	BIH	896	896	0
22	Ghana	GHA	874	874	0
23	Chile	CHI	847	870	0
24	Sweden	SWE	838	838	0
25	Czech Republic	CZE	829	829	0
26	Mali	MLI	826	826	0
27	Montenegro	MNE	789	789	0
28	Nigeria	NGA	780	757	3
29	USA	USA	779	779	-1
30	Japan	JPN	773	773	-1
31	Norway	NOR	760	760	-1
32	Peru	PER	753	752	0
33	Hungary	HUN	749	749	0
34	Romania	ROU	746	746	0
35	Algeria	ALG	735	735	0
36	Venezuela	VEN	703	708	0
37	Ukraine	UKR	675	675	0
38	Panama	PAN	663	663	0
39	Republic of Ireland	IRL	662	662	0
40	Serbia	SRB	659	659	0
41	Tunisia	TUN	647	647	0
42	Korea Republic	KOR	644	644	0
43	Albania	ALB	640	596	5
44	Paraguay	PAR	634	643	-1
44	Turkey	TUR	634	634	0
46	Zambia	ZAM	628	632	-1
47	Australia	AUS	624	624	-1
48	Costa Rica	CRC	616	606	-1
49	Wales	WAL	589	589	0
50	Burkina Faso	BFA	587	587	0
50	Honduras	HON	587	581	2
52	Bulgaria	BUL	583	583	-1
53	Jamaica	JAM	571	564	0
54	Slovakia	SVK	563	563	0
55	Slovenia	SVN	560	560	0
56	South Africa	RSA	541	530	6
57	Iran	IRN	538	538	-1
58	Bolivia	BOL	537	537	-1
59	Israel	ISR	536	536	-1
59	Haiti	HAI	536	532	2
61	Equatorial Guinea	EQG	535	535	-2
62	Cameroon	CMR	533	533	-2
63	Poland	POL	529	529	0
64	Central African Republic	CTA	528	528	0
65	Libya	LBY	524	524	0
66	Uzbekistan	UZB	521	521	0
67	Sierra Leone	SLE	517	517	0
68	Egypt	EGY	512	512	0
69	Belarus	BLR	502	502	0
70	Guinea	GUI	480	480	0
71	Austria	AUT	472	472	0
72	Togo	TOG	470	470	0
73	Iceland	ISL	469	469	0
74	Morocco	MAR	466	466	0
75	Cape Verde Islands	CPV	464	464	0
76	Senegal	SEN	463	430	12
77	Jordan	JOR	462	462	-1
78	Congo	CGO	459	459	-1
78	Scotland	SCO	459	459	-1
80	Canada	CAN	457	457	-1
81	Gabon	GAB	450	450	-1
82	Trinidad and Tobago	TRI	447	446	-1
83	Finland	FIN	444	444	-1
84	FYR Macedonia	MKD	441	441	-1
85	El Salvador	SLV	440	440	-1
86	Congo DR	COD	435	435	-1
87	Cuba	CUB	433	433	-1
87	New Zealand	NZL	433	433	-1
89	United Arab Emirates	UAE	423	423	0
90	Armenia	ARM	421	421	0
91	Uganda	UGA	413	413	1
92	Estonia	EST	411	411	1
93	Angola	ANG	401	401	1
94	Guatemala	GUA	400	401	0
95	Dominican Republic	DOM	396	396	1
96	Georgia	GEO	394	417	-5
97	Iraq	IRQ	391	396	-1
98	China PR	CHN	388	388	0
99	Benin	BEN	381	381	0
100	Niger	NIG	362	362	0
