rank	country	code	point	prev_point	prev_rank
1	Spain	ESP	1532	1614	0
2	Germany	GER	1273	1416	0
3	Colombia	COL	1206	1123	4
4	Argentina	ARG	1204	1287	-1
5	Netherlands	NED	1180	1158	0
6	Italy	ITA	1142	1097	2
7	Portugal	POR	1099	1137	-1
8	Croatia	CRO	1098	1222	-4
9	Brazil	BRA	1095	872	13
10	Belgium	BEL	1079	1035	2
11	Greece	GRE	1038	1006	5
12	Uruguay	URU	1016	913	7
13	Cote d`Ivoire	CIV	1009	1022	0
14	Bosnia and Herzegovina	BIH	995	1008	1
15	England	ENG	994	1095	-6
16	Switzerland	SUI	987	1010	-2
17	Russia	RUS	979	1059	-6
18	Ecuador	ECU	932	1066	-8
19	Peru	PER	898	791	11
20	Mexico	MEX	880	928	-3
21	Chile	CHI	872	841	4
22	USA	USA	865	798	6
23	France	FRA	838	922	-5
24	Ghana	GHA	830	887	-3
25	Norway	NOR	801	794	4
26	Czech Republic	CZE	797	853	-2
27	Denmark	DEN	788	890	-7
28	Mali	MLI	774	869	-5
28	Montenegro	MNE	774	841	-3
28	Ukraine	UKR	774	687	11
31	Sweden	SWE	764	830	-4
32	Hungary	HUN	749	759	1
33	Romania	ROU	732	750	1
34	Algeria	ALG	730	737	1
35	Nigeria	NGA	723	785	-4
36	Venezuela	VEN	704	712	1
37	Albania	ALB	689	690	1
37	Japan	JPN	689	765	-5
39	Costa Rica	CRC	688	617	9
40	Australia	AUS	671	619	7
41	Serbia	SRB	661	723	-5
42	Burkina Faso	BFA	656	594	9
43	Korea Republic	KOR	642	666	-3
44	Republic of Ireland	IRL	639	659	-3
45	Slovenia	SVN	634	568	10
46	Wales	WAL	630	638	-1
47	Tunisia	TUN	627	652	-5
48	Paraguay	PAR	622	640	-4
49	Cape Verde Islands	CPV	620	486	23
50	Scotland	SCO	610	481	24
51	Panama	PAN	601	649	-8
52	Bulgaria	BUL	596	628	-6
52	Iran	IRN	596	506	15
54	Austria	AUT	595	469	22
55	Honduras	HON	582	582	-3
55	New Zealand	NZL	582	551	2
57	Turkey	TUR	573	573	-3
58	Uzbekistan	UZB	563	550	0
59	South Africa	RSA	558	542	1
60	Zambia	ZAM	554	602	-11
61	Guinea	GUI	545	438	24
62	Egypt	EGY	543	491	9
63	Slovakia	SVK	542	565	-7
64	Israel	ISR	540	540	-2
65	Finland	FIN	537	442	19
66	Armenia	ARM	534	408	23
67	Equatorial Guinea	EQG	532	523	-3
68	Bolivia	BOL	528	578	-15
69	Haiti	HAI	522	538	-6
70	Libya	LBY	518	498	-1
71	Cameroon	CMR	517	517	-6
72	Togo	TOG	511	483	1
73	Iceland	ISL	499	541	-12
74	Senegal	SEN	497	366	25
75	Poland	POL	493	517	-10
76	Jordan	JOR	489	472	-1
77	Jamaica	JAM	484	602	-28
78	Belarus	BLR	482	506	-11
79	Morocco	MAR	470	463	-2
80	Uganda	UGA	466	401	13
81	Gabon	GAB	459	444	1
82	Cuba	CUB	458	406	9
83	Sierra Leone	SLE	443	497	-13
84	Congo DR	COD	434	454	-5
85	United Arab Emirates	UAE	432	424	2
86	Estonia	EST	423	408	3
87	Trinidad and Tobago	TRI	419	447	-6
88	Canada	CAN	413	443	-5
89	Central African Republic	CTA	398	543	-30
90	Congo	CGO	396	452	-10
90	Dominican Republic	DOM	396	396	4
92	FYR Macedonia	MKD	395	460	-14
93	Guatemala	GUA	388	410	-5
94	El Salvador	SLV	382	429	-8
95	Ethiopia	ETH	381	328	11
96	Angola	ANG	380	406	-5
97	New Caledonia	NCL	377	371	0
98	Georgia	GEO	369	391	-2
99	Oman	OMA	361	351	2
100	China PR	CHN	339	393	-5
