rank	country	code	point	prev_point	prev_rank
1	Spain	ESP	1590	1606	0
2	Germany	GER	1437	1437	0
3	Argentina	ARG	1281	1290	0
4	England	ENG	1160	1151	2
5	Italy	ITA	1157	1165	-1
6	Colombia	COL	1129	1164	-1
6	Portugal	POR	1129	1144	1
8	Netherlands	NED	1108	1124	0
9	Croatia	CRO	1059	1064	1
10	Russia	RUS	1055	1070	-1
11	Greece	GRE	1020	1033	0
12	Ecuador	ECU	999	1007	0
12	Cote d`Ivoire	CIV	999	996	2
14	Switzerland	SUI	993	1004	-1
15	Mexico	MEX	968	994	0
16	Uruguay	URU	950	975	0
17	France	FRA	929	949	0
18	Brazil	BRA	924	946	0
19	Ghana	GHA	865	788	7
20	Belgium	BEL	864	868	0
21	Sweden	SWE	863	870	-2
22	Denmark	DEN	825	819	1
23	Chile	CHI	815	774	7
24	Bosnia and Herzegovina	BIH	814	788	2
25	Mali	MLI	813	807	0
26	Czech Republic	CZE	797	781	3
27	Norway	NOR	780	810	-3
28	Japan	JPN	779	834	-7
29	Montenegro	MNE	756	756	2
30	Nigeria	NGA	747	573	22
31	Romania	ROU	744	700	2
32	USA	USA	736	782	-4
33	Hungary	HUN	728	750	-1
34	Algeria	ALG	725	829	-12
35	Paraguay	PAR	681	682	0
36	Serbia	SRB	668	659	1
37	Australia	AUS	649	674	-1
38	Korea Republic	KOR	643	687	-4
39	Republic of Ireland	IRL	634	609	2
39	Peru	PER	634	603	4
41	Turkey	TUR	616	627	-1
42	Panama	PAN	612	594	4
42	Tunisia	TUN	612	570	11
44	Bolivia	BOL	607	609	-3
45	Venezuela	VEN	599	561	10
46	Ukraine	UKR	597	595	-2
47	Zambia	ZAM	591	646	-8
48	Bulgaria	BUL	590	585	2
49	Slovakia	SVK	589	595	-5
50	Haiti	HAI	584	650	-12
51	Central African Republic	CTA	581	581	0
51	Honduras	HON	581	543	8
53	Costa Rica	CRC	577	515	13
54	Slovenia	SVN	573	591	-7
55	Burkina Faso	BFA	571	389	37
56	Jamaica	JAM	570	552	2
57	Uzbekistan	UZB	557	555	-1
58	Iran	IRN	543	537	2
59	Poland	POL	528	555	-3
60	South Africa	RSA	525	423	25
61	Sierra Leone	SLE	517	526	1
62	Libya	LBY	514	591	-15
63	Cape Verde Islands	CPV	512	486	7
64	Scotland	SCO	511	490	5
65	Belarus	BLR	503	516	0
66	Israel	ISR	496	454	10
67	Togo	TOG	494	451	10
68	Wales	WAL	493	435	13
69	Georgia	GEO	491	481	3
70	Egypt	EGY	490	566	-16
71	Albania	ALB	489	518	-8
72	Canada	CAN	485	517	-8
73	Guinea	GUI	482	527	-12
74	Morocco	MAR	481	461	0
75	Gabon	GAB	478	588	-26
76	Austria	AUT	470	492	-8
77	Trinidad and Tobago	TRI	466	483	-6
78	FYR Macedonia	MKD	465	436	2
79	Cameroon	CMR	464	500	-12
80	Armenia	ARM	462	457	-5
81	El Salvador	SLV	434	374	15
82	Senegal	SEN	426	439	-3
82	Estonia	EST	426	433	1
84	Uganda	UGA	424	435	-3
85	Finland	FIN	414	431	-1
86	Congo DR	COD	400	355	15
87	Cuba	CUB	399	399	1
88	Guatemala	GUA	394	412	-1
89	Iraq	IRQ	392	392	0
90	New Zealand	NZL	390	390	1
91	Congo	CGO	388	325	18
92	Jordan	JOR	386	375	3
93	Benin	BEN	384	384	0
94	Angola	ANG	381	443	-16
95	Dominican Republic	DOM	378	378	-1
96	China PR	CHN	375	415	-10
97	Niger	NIG	374	371	0
98	Iceland	ISL	370	392	-9
99	United Arab Emirates	UAE	364	346	4
100	Zimbabwe	ZIM	359	354	2
