rank	country	code	point	prev_point	prev_rank	
1	Brazil	BRA	73	71	0
2	France	FRA	70	56	16
3	Germany	GER	68	64	-1
4	Croatia	CRO	66	55	15
5	Argentina	ARG	65	60	1
6	Czech Republic	CZE	64	64	-3
7	Yugoslavia	YUG	64	59	1
8	Netherlands	NED	64	54	17
8	Italy	ITA	64	56	6
10	England	ENG	62	60	-5
11	Norway	NOR	62	59	-4
12	Mexico	MEX	62	61	-8
13	Romania	ROU	60	54	9
14	Spain	ESP	60	56	1
15	Chile	CHI	59	58	-6
16	Morocco	MAR	58	57	-3
17	Colombia	COL	57	58	-7
18	Denmark	DEN	57	52	9
19	USA	USA	57	58	-8
20	Egypt	EGY	56	56	-3
21	Korea Republic	KOR	55	55	-1
22	Japan	JPN	55	57	-10
23	Austria	AUT	55	51	8
24	Zambia	ZAM	54	54	-1
25	Tunisia	TUN	54	55	-4
26	Paraguay	PAR	54	52	3
27	South Africa	RSA	53	54	-3
28	Russia	RUS	53	56	-12
29	Jamaica	JAM	52	52	1
30	Sweden	SWE	52	52	-2
31	Belgium	BEL	52	50	5
32	Slovakia	SVK	51	49	8
33	Saudi Arabia	KSA	50	50	1
34	Bulgaria	BUL	49	50	1
35	Uruguay	URU	49	50	3
36	Scotland	SCO	48	48	5
37	Iran	IRN	48	47	5
38	Australia	AUS	48	51	-6
39	Israel	ISR	48	45	8
40	Cameroon	CMR	48	45	9
41	Ecuador	ECU	47	53	-15
42	Portugal	POR	46	49	-3
43	Peru	PER	46	50	-6
44	Georgia	GEO	45	45	8
45	Cote d`Ivoire	CIV	45	46	-1
46	Thailand	THA	45	45	4
47	Republic of Ireland	IRL	44	46	-1
48	Poland	POL	44	44	6
49	China PR	CHN	44	45	2
50	Greece	GRE	43	44	5
51	Costa Rica	CRC	43	43	7
52	Kuwait	KUW	43	46	-9
53	Turkey	TUR	43	44	0
54	Bolivia	BOL	43	51	-21
55	Lithuania	LTU	42	46	-10
56	Hungary	HUN	42	41	6
57	Angola	ANG	42	43	-1
58	United Arab Emirates	UAE	42	42	1
59	Trinidad and Tobago	TRI	42	45	-11
60	Zaire	ZAI	41	40	3
61	Guinea	GUI	41	42	-1
62	Finland	FIN	41	42	-1
63	Algeria	ALG	40	43	-6
64	Nigeria	NGA	40	36	10
65	Ghana	GHA	39	40	0
66	Ukraine	UKR	39	40	-2
67	Mali	MLI	39	39	-1
68	Burkina Faso	BFA	39	39	-1
69	Iceland	ISL	38	37	3
70	El Salvador	SLV	38	38	-2
71	Zimbabwe	ZIM	38	35	13
72	Qatar	QAT	38	38	-2
73	Switzerland	SUI	37	35	8
74	Guatemala	GUA	36	36	1
75	Mozambique	MOZ	36	38	-6
76	FYR Macedonia	MKD	36	37	-5
77	Togo	TOG	35	37	-4
78	Cyprus	CYP	35	35	5
79	Cuba	CUB	35	33	9
80	Canada	CAN	35	36	-3
81	Namibia	NAM	34	36	-5
82	Gabon	GAB	33	35	-3
83	Indonesia	IDN	33	33	6
84	Uzbekistan	UZB	33	35	-4
85	Senegal	SEN	33	36	-7
86	Honduras	HON	32	33	0
87	Sierra Leone	SLE	32	32	4
88	Northern Ireland	NIR	32	33	2
89	Iraq	IRQ	31	33	-4
89	Singapore	SIN	31	27	17
91	Latvia	LVA	30	35	-9
92	Kenya	KEN	30	30	1
93	Slovenia	SVN	30	30	1
94	Bosnia and Herzegovina	BIH	29	28	8
95	Vietnam	VIE	29	28	5
96	Malaysia	MAS	28	28	3
97	Albania	ALB	28	28	4
98	Oman	OMA	0	33	-11
99	Lebanon	LIB	0	30	-3
100	Malawi	MWI	28	29	-3
