rank	country	code	point	prev_point	prev_rank	
1	Brazil	BRA	1630	827	0
2	Italy	ITA	1550	728	11
3	Argentina	ARG	1472	746	6
4	France	FRA	1462	749	4
5	England	ENG	1434	741	5
6	Netherlands	NED	1322	768	-3
7	Spain	ESP	1309	756	-2
8	Portugal	POR	1301	750	-1
9	Germany	GER	1229	696	10
10	Czech Republic	CZE	1223	772	-8
11	Nigeria	NGA	1149	736	0
12	Cameroon	CMR	1109	722	3
13	Switzerland	SUI	1028	648	22
14	Uruguay	URU	985	689	8
15	Ukraine	UKR	961	609	30
16	USA	USA	933	756	-11
17	Denmark	DEN	927	736	-6
18	Mexico	MEX	924	758	-14
19	Paraguay	PAR	915	653	14
20	Cote d`Ivoire	CIV	909	669	12
21	Colombia	COL	902	681	6
22	Sweden	SWE	886	709	-6
23	Croatia	CRO	854	686	0
24	Guinea	GUI	850	597	27
25	Ghana	GHA	839	600	23
26	Romania	ROU	834	685	-1
27	Turkey	TUR	824	726	-13
28	Ecuador	ECU	821	631	11
29	Egypt	EGY	819	708	-12
30	Poland	POL	809	677	-1
31	Tunisia	TUN	805	693	-10
32	Greece	GRE	780	694	-12
33	Australia	AUS	738	612	9
34	Russia	RUS	733	645	3
35	Senegal	SEN	726	679	-7
36	Serbia	SRB	724	0	0
36	Serbia and Montenegro	SCG	0	610	8
37	Bulgaria	BUL	716	645	0
38	Honduras	HON	695	612	4
39	Republic of Ireland	IRL	694	671	-8
40	Morocco	MAR	681	646	-4
41	Scotland	SCO	677	576	18
42	Peru	PER	661	550	24
43	Bosnia and Herzegovina	BIH	660	561	20
44	Slovakia	SVK	659	613	-3
45	Costa Rica	CRC	636	683	-19
46	Chile	CHI	630	557	18
47	Iran	IRN	624	686	-24
48	Togo	TOG	622	569	13
49	Japan	JPN	615	705	-31
50	Uzbekistan	UZB	606	571	10
51	Israel	ISR	605	599	-2
52	Norway	NOR	604	627	-12
53	Guatemala	GUA	587	565	9
54	Canada	CAN	567	515	29
55	Angola	ANG	564	581	2
56	Korea Republic	KOR	557	677	-27
57	Belgium	BEL	555	582	-1
58	Wales	WAL	547	538	16
59	Panama	PAN	522	523	22
60	Austria	AUT	506	531	19
61	Slovenia	SVN	505	539	10
62	Zambia	ZAM	498	581	-5
63	Mali	MLI	497	550	3
64	Trinidad and Tobago	TRI	487	604	-17
65	Albania	ALB	478	512	20
66	Zimbabwe	ZIM	476	586	-11
67	Congo DR	COD	475	544	2
68	Venezuela	VEN	463	539	3
69	Lithuania	LTU	458	481	24
70	FYR Macedonia	MKD	456	489	21
70	Finland	FIN	456	599	-21
72	South Africa	RSA	455	593	-19
73	Belarus	BLR	453	553	-8
74	Burkina Faso	BFA	445	500	15
75	Northern Ireland	NIR	425	469	21
76	Qatar	QAT	420	533	2
77	Moldova	MDA	416	452	27
78	Jamaica	JAM	409	607	-32
79	Libya	LBY	401	511	7
80	Malawi	MWI	400	436	27
81	Saudi Arabia	KSA	399	651	-47
82	Latvia	LVA	386	541	-12
82	Estonia	EST	386	534	-5
84	Hungary	HUN	383	535	-8
85	Bolivia	BOL	368	456	17
86	Oman	OMA	367	519	-4
87	Georgia	GEO	359	459	14
88	Iraq	IRQ	350	595	-36
89	China PR	CHN	299	545	-21
90	United Arab Emirates	UAE	329	539	-19
91	Korea DPR	PRK	327	503	-3
92	Cyprus	CYP	320	462	8
93	Algeria	ALG	318	505	-6
94	Bahrain	BHR	311	588	-40
95	Equatorial Guinea	EQG	299	244	59
96	Cuba	CUB	293	527	-16
96	Gabon	GAB	293	448	9
98	Jordan	JOR	288	513	-14
99	Uganda	UGA	276	468	-2
