rank	country	code	point	prev_point	prev_rank	
1	Brazil	BRA	848	849	0
2	France	FRA	802	809	0
3	Spain	ESP	788	790	0
4	Argentina	ARG	775	774	0
5	Czech Republic	CZE	760	762	0
6	Netherlands	NED	746	747	0
7	England	ENG	732	732	0
8	Mexico	MEX	728	731	0
9	Italy	ITA	722	728	0
10	USA	USA	717	719	0
11	Portugal	POR	714	714	1
11	Germany	GER	714	712	2
13	Turkey	TUR	711	719	-3
14	Greece	GRE	709	710	0
15	Denmark	DEN	707	703	0
16	Republic of Ireland	IRL	697	700	0
16	Cameroon	CMR	697	700	0
18	Japan	JPN	695	685	2
19	Uruguay	URU	693	691	0
20	Nigeria	NGA	691	696	-2
21	Iran	IRN	690	680	3
22	Sweden	SWE	686	685	-2
23	Paraguay	PAR	683	684	-1
23	Korea Republic	KOR	683	684	-1
25	Croatia	CRO	662	659	0
26	Russia	RUS	659	653	1
27	Saudi Arabia	KSA	655	656	-1
28	Colombia	COL	654	652	0
29	Poland	POL	647	652	-1
29	Belgium	BEL	647	650	2
31	Senegal	SEN	645	650	0
32	Romania	ROU	644	636	3
33	Morocco	MAR	642	644	0
33	Costa Rica	CRC	642	652	-5
35	Egypt	EGY	637	637	-1
36	Tunisia	TUN	631	633	0
37	Jordan	JOR	615	616	0
38	Norway	NOR	610	612	0
39	South Africa	RSA	609	599	2
40	Iraq	IRQ	601	601	0
41	Bulgaria	BUL	595	596	1
42	Ecuador	ECU	594	604	-3
43	Mali	MLI	588	577	3
44	Zimbabwe	ZIM	580	573	3
44	Bahrain	BHR	580	582	1
46	Slovenia	SVN	579	586	-3
47	Honduras	HON	573	550	12
48	China PR	CHN	572	566	3
49	Switzerland	SUI	569	573	-2
50	Oman	OMA	568	569	0
51	Uzbekistan	UZB	566	566	0
51	Serbia and Montenegro	SCG	566	583	-7
53	Finland	FIN	563	570	-4
53	Jamaica	JAM	563	559	1
55	Kuwait	KUW	559	559	-1
55	Venezuela	VEN	559	562	-2
57	Wales	WAL	556	539	7
58	Cote d`Ivoire	CIV	555	539	6
58	Australia	AUS	555	553	-1
60	Latvia	LVA	552	554	-4
61	Algeria	ALG	550	551	-3
61	Qatar	QAT	550	550	-2
63	Peru	PER	547	547	-2
64	Guatemala	GUA	542	509	15
65	Trinidad and Tobago	TRI	538	535	2
66	Chile	CHI	537	535	1
67	Thailand	THA	535	539	-3
67	Scotland	SCO	535	542	-5
69	Israel	ISR	534	542	-7
69	Bosnia and Herzegovina	BIH	534	519	7
71	Slovakia	SVK	533	526	0
72	Zambia	ZAM	529	528	-3
73	Libya	LBY	526	526	-2
74	Ghana	GHA	525	527	-4
74	Cuba	CUB	525	525	0
76	Hungary	HUN	523	514	1
77	United Arab Emirates	UAE	520	521	-2
77	Belarus	BLR	520	507	6
79	Congo DR	COD	519	526	-8
80	Iceland	ISL	514	509	-1
81	Estonia	EST	513	507	2
82	Angola	ANG	512	511	-4
83	Burkina Faso	BFA	511	509	-4
84	Syria	SYR	510	508	-2
84	Kenya	KEN	510	500	3
86	New Zealand	NZL	501	505	0
87	Ukraine	UKR	499	506	-2
88	FYR Macedonia	MKD	496	483	4
89	Guinea	GUI	495	500	-2
90	Austria	AUT	488	495	-1
91	Turkmenistan	TKM	486	486	-1
92	Indonesia	IDN	484	485	-1
93	Bolivia	BOL	480	480	0
94	Albania	ALB	479	479	0
94	Vietnam	VIE	479	459	7
96	Haiti	HAI	475	478	-1
97	Togo	TOG	472	473	-1
98	Rwanda	RWA	471	461	1
99	Canada	CAN	469	473	-3
100	Congo	CGO	468	470	-2
