rank	country	code	point	prev_point	prev_rank
1	Spain	ESP	1624	1605	0
2	Netherlands	NED	1425	1571	0
3	Germany	GER	1352	1290	0
4	Uruguay	URU	1230	1184	0
5	Brazil	BRA	1144	1132	2
6	Italy	ITA	1135	1142	0
7	England	ENG	1101	1089	1
8	Portugal	POR	1044	1158	-3
8	Greece	GRE	1044	1000	3
10	Argentina	ARG	1030	1024	0
10	Denmark	DEN	1030	893	7
12	Croatia	CRO	1015	1057	-3
13	Russia	RUS	975	954	0
14	Sweden	SWE	955	792	11
15	France	FRA	953	956	-3
16	Chile	CHI	941	932	-2
17	Japan	JPN	924	924	-2
18	Switzerland	SUI	920	886	0
19	Cote d`Ivoire	CIV	898	910	-3
20	Australia	AUS	868	882	-1
21	Bosnia and Herzegovina	BIH	864	839	1
22	Mexico	MEX	860	866	-2
23	Serbia	SRB	854	855	-2
24	Norway	NOR	838	835	-1
25	Republic of Ireland	IRL	812	749	4
26	Turkey	TUR	803	754	1
27	Slovenia	SVN	787	732	6
28	Paraguay	PAR	785	825	-4
29	Korea Republic	KOR	775	749	0
29	Egypt	EGY	775	713	7
31	Colombia	COL	757	738	1
32	Peru	PER	746	724	3
33	Ghana	GHA	734	700	4
34	USA	USA	720	741	-3
35	Algeria	ALG	713	605	11
36	Hungary	HUN	701	754	-9
37	Belgium	BEL	670	729	-3
38	Israel	ISR	669	677	0
39	Montenegro	MNE	655	777	-13
40	Venezuela	VEN	632	598	7
41	Slovakia	SVK	629	662	-2
42	Senegal	SEN	626	614	0
42	Iran	IRN	626	576	8
44	Nigeria	NGA	625	613	-1
45	Wales	WAL	619	374	45
46	Armenia	ARM	608	610	-2
47	Cameroon	CMR	600	596	1
47	Czech Republic	CZE	600	656	-7
49	South Africa	RSA	595	574	2
50	Jamaica	JAM	592	606	-5
51	Scotland	SCO	581	572	1
52	Ecuador	ECU	580	481	17
53	Panama	PAN	579	564	0
54	Burkina Faso	BFA	578	651	-13
55	Romania	ROU	575	584	-6
56	Morocco	MAR	566	534	3
57	Honduras	HON	555	564	-4
58	Ukraine	UKR	551	531	2
59	Estonia	EST	542	537	-1
60	Tunisia	TUN	541	526	1
61	Belarus	BLR	529	554	-5
62	Costa Rica	CRC	522	549	-5
63	Sierra Leone	SLE	519	488	5
64	Poland	POL	517	496	1
65	Libya	LBY	504	519	-3
66	Cape Verde Islands	CPV	500	372	25
67	Georgia	GEO	475	499	-3
68	Gabon	GAB	473	489	-1
68	Mali	MLI	473	519	-6
70	China PR	CHN	463	469	3
71	Albania	ALB	462	474	0
72	Austria	AUT	458	442	5
73	Uzbekistan	UZB	452	421	6
74	Zimbabwe	ZIM	448	490	-8
75	Bulgaria	BUL	447	558	-20
75	Latvia	LVA	447	460	-1
75	Guinea	GUI	447	447	1
78	Finland	FIN	438	471	-6
79	Trinidad and Tobago	TRI	433	414	1
80	Zambia	ZAM	432	409	3
81	Jordan	JOR	428	406	4
82	El Salvador	SLV	426	390	6
83	Canada	CAN	425	395	4
84	Northern Ireland	NIR	421	477	-14
85	Lithuania	LTU	416	459	-10
86	Angola	ANG	404	407	-2
87	Malawi	MWI	400	439	-9
88	Uganda	UGA	393	411	-6
89	Botswana	BOT	386	364	6
90	Antigua and Barbuda	ATG	381	345	11
91	Iraq	IRQ	379	307	16
92	Qatar	QAT	371	350	8
93	FYR Macedonia	MKD	361	366	1
94	Togo	TOG	359	364	1
95	Niger	NIG	352	369	-2
96	Kuwait	KUW	350	352	3
97	Guyana	GUY	346	278	19
98	Saudi Arabia	KSA	341	359	-1
99	Guatemala	GUA	340	302	10
100	Cuba	CUB	332	332	3
