rank	country	code	point	prev_point	prev_rank
1	France	FRA	812	812	0
2	Argentina	ARG	801	802	0
3	Brazil	BRA	793	793	0
4	Portugal	POR	741	741	0
5	Colombia	COL	739	739	0
6	Italy	ITA	734	734	0
7	Spain	ESP	730	730	0
8	Netherlands	NED	722	722	0
9	Mexico	MEX	714	714	0
10	England	ENG	712	712	0
11	Yugoslavia	YUG	710	710	0
12	Germany	GER	707	707	0
13	Paraguay	PAR	691	691	0
14	Czech Republic	CZE	689	689	0
15	Romania	ROU	686	688	0
16	Sweden	SWE	676	676	0
17	Denmark	DEN	672	672	1
18	Republic of Ireland	IRL	672	672	-1
19	Croatia	CRO	668	668	0
20	Belgium	BEL	666	666	0
21	Russia	RUS	665	665	0
22	Uruguay	URU	664	664	0
23	Turkey	TUR	663	663	0
24	USA	USA	662	662	0
25	Honduras	HON	650	650	2
26	Norway	NOR	650	650	0
27	Slovenia	SVN	650	650	-2
28	Tunisia	TUN	649	648	0
29	Iran	IRN	641	642	0
30	Costa Rica	CRC	635	635	0
31	Poland	POL	629	629	2
32	Saudi Arabia	KSA	629	632	-1
33	South Africa	RSA	629	626	2
34	Trinidad and Tobago	TRI	629	630	-2
35	Japan	JPN	626	626	-1
36	Morocco	MAR	619	623	0
37	Cameroon	CMR	614	609	1
38	Ecuador	ECU	613	613	-1
39	Chile	CHI	604	604	0
40	Nigeria	NGA	604	604	0
41	Egypt	EGY	601	602	0
42	Korea Republic	KOR	599	599	0
43	Peru	PER	598	598	0
44	Cote d`Ivoire	CIV	596	596	0
45	Ukraine	UKR	593	593	0
46	Finland	FIN	590	588	0
47	Slovakia	SVK	588	588	0
48	Australia	AUS	586	586	0
49	Israel	ISR	583	583	0
50	Scotland	SCO	577	577	0
51	Bulgaria	BUL	576	576	0
52	Iceland	ISL	569	569	0
53	Jamaica	JAM	567	567	0
54	Angola	ANG	566	564	1
55	China PR	CHN	565	565	-1
56	Austria	AUT	558	558	0
57	Greece	GRE	556	556	0
58	Georgia	GEO	552	552	0
59	Guatemala	GUA	550	536	8
60	United Arab Emirates	UAE	550	549	0
61	Ghana	GHA	549	551	-2
62	Thailand	THA	544	544	-1
63	Zambia	ZAM	543	540	1
64	Uzbekistan	UZB	542	542	-2
65	Switzerland	SUI	540	540	-2
66	Zimbabwe	ZIM	540	533	2
67	Hungary	HUN	537	537	-1
68	Senegal	SEN	536	539	-3
69	Togo	TOG	525	522	2
70	Bolivia	BOL	522	522	0
71	Bosnia and Herzegovina	BIH	522	522	-2
72	Iraq	IRQ	515	515	0
73	Liberia	LBR	511	515	0
74	Algeria	ALG	511	510	1
75	Cuba	CUB	509	509	1
76	Kuwait	KUW	509	512	-2
77	Congo DR	COD	508	509	0
78	Burkina Faso	BFA	506	502	0
79	Cyprus	CYP	500	500	0
80	Qatar	QAT	497	497	0
81	Venezuela	VEN	493	493	0
82	Haiti	HAI	491	492	0
83	New Zealand	NZL	477	477	1
84	Estonia	EST	476	477	-1
85	Belarus	BLR	474	474	0
86	El Salvador	SLV	469	468	0
87	Indonesia	IDN	467	467	0
88	FYR Macedonia	MKD	465	464	1
89	Northern Ireland	NIR	465	465	-1
90	Oman	OMA	464	462	1
91	Syria	SYR	462	464	-1
92	Albania	ALB	457	448	4
93	Canada	CAN	457	458	-1
94	Lebanon	LIB	454	455	-1
95	Congo	CGO	453	454	-1
96	Armenia	ARM	449	449	-1
97	Lithuania	LTU	447	447	0
98	Jordan	JOR	443	442	1
99	Kazakhstan	KAZ	442	442	-1
100	Wales	WAL	449	441	0
