rank	country	code	point	prev_point	prev_rank	
1	Spain	ESP	1513	1514	0
2	Germany	GER	1311	1261	1
3	Argentina	ARG	1266	1263	-1
4	Colombia	COL	1178	1180	1
5	Belgium	BEL	1175	1159	1
6	Uruguay	URU	1164	1126	1
7	Switzerland	SUI	1138	992	7
8	Netherlands	NED	1136	1058	1
8	Italy	ITA	1136	1199	-4
10	England	ENG	1080	947	7
11	Brazil	BRA	1078	1067	-3
12	Chile	CHI	1051	967	4
13	USA	USA	1040	996	0
14	Portugal	POR	1036	1029	-3
15	Greece	GRE	983	1016	-3
16	Bosnia and Herzegovina	BIH	925	934	2
17	Cote d`Ivoire	CIV	917	902	2
18	Croatia	CRO	901	1051	-8
19	Russia	RUS	874	968	-4
20	Ukraine	UKR	871	799	6
21	France	FRA	870	812	4
22	Ecuador	ECU	862	851	-2
23	Ghana	GHA	860	815	1
24	Mexico	MEX	854	837	-3
25	Sweden	SWE	850	836	-3
26	Denmark	DEN	824	825	-3
27	Czech Republic	CZE	783	738	5
28	Serbia	SRB	778	666	15
29	Romania	ROU	767	739	2
30	Slovenia	SVN	752	754	-1
31	Costa Rica	CRC	744	733	2
32	Algeria	ALG	741	762	-4
33	Nigeria	NGA	724	707	3
34	Honduras	HON	720	680	6
35	Scotland	SCO	715	551	28
36	Panama	PAN	702	727	-1
37	Venezuela	VEN	692	707	-1
38	Armenia	ARM	687	592	17
39	Peru	PER	686	732	-5
40	Turkey	TUR	670	613	9
41	Mali	MLI	668	704	-3
42	Cape Verde Islands	CPV	662	660	2
43	Hungary	HUN	636	744	-13
44	Japan	JPN	634	671	-2
44	Wales	WAL	634	606	8
46	Iceland	ISL	633	599	8
47	Norway	NOR	632	699	-8
47	Tunisia	TUN	632	643	-1
49	Paraguay	PAR	613	673	-8
49	Iran	IRN	613	633	-1
51	Egypt	EGY	610	611	-1
52	Burkina Faso	BFA	598	607	-1
53	Austria	AUT	596	639	-6
54	Montenegro	MNE	584	766	-27
55	Uzbekistan	UZB	582	579	2
56	Korea Republic	KOR	569	574	2
57	Australia	AUS	564	603	-4
58	Albania	ALB	563	652	-13
59	Cameroon	CMR	554	558	2
60	Republic of Ireland	IRL	550	570	-1
61	Libya	LBY	540	520	9
61	South Africa	RSA	540	528	7
63	Finland	FIN	538	591	-7
64	Senegal	SEN	530	534	2
65	Slovakia	SVK	528	562	-5
66	Israel	ISR	515	522	3
67	Zambia	ZAM	513	515	4
68	Guinea	GUI	512	487	8
69	Poland	POL	503	539	-4
70	Jordan	JOR	502	494	3
71	United Arab Emirates	UAE	496	456	11
71	Bolivia	BOL	496	555	-9
73	Sierra Leone	SLE	493	497	-1
74	Cuba	CUB	492	438	10
75	Togo	TOG	488	486	2
76	Bulgaria	BUL	487	549	-12
77	Morocco	MAR	478	492	-3
78	Dominican Republic	DOM	474	425	9
79	New Zealand	NZL	470	529	-12
80	Haiti	HAI	464	471	-2
81	Trinidad and Tobago	TRI	457	432	4
82	Jamaica	JAM	456	471	-4
83	Belarus	BLR	441	458	-3
84	Gabon	GAB	438	443	-1
85	Uganda	UGA	431	457	-4
86	FYR Macedonia	MKD	430	490	-11
87	Congo DR	COD	411	392	4
88	Azerbaijan	AZE	407	315	19
89	El Salvador	SLV	404	386	4
90	Northern Ireland	NIR	399	431	-4
91	Congo	CGO	394	388	1
92	Oman	OMA	381	382	4
93	Angola	ANG	380	400	-4
94	Benin	BEN	378	398	-4
95	Ethiopia	ETH	376	386	-2
96	Moldova	MDA	369	237	33
97	China PR	CHN	365	362	2
98	Botswana	BOT	354	326	6
99	Estonia	EST	351	405	-11
100	Georgia	GEO	350	364	-3
