id	name	country	bday
1096	"Woo, Kyung Chul "	"Korea, Republic of"	1990-11-21
1097	"Tak, Hyun Seung "	"Korea, Republic of"	1994-03-29
1098	Shawn Simon 	United States	1988-10-11
1099	"Ryoo, Kyung Hyun "	"Korea, Republic of"	1988-10-21
1100	Jeffrey Brusi 	Sweden	1986-12-23
1101	"Shin, Jung Min "	"Korea, Republic of"	1986-06-26
1102	"Choi, Min Soo "	"Korea, Republic of"	1991-09-25
1103	"Cho, Myung Hwan "	"Korea, Republic of"	1994-07-19
1104	"Byun, Gil Sup "	"Korea, Republic of"	1984-01-10
1105	"Kim, Nam Kyu "	"Korea, Republic of"	1990-09-01
1106	"Kim, Hyun Tae "	"Korea, Republic of"	1993-10-09
1107	"Kim, Jung Gyoon "	"Korea, Republic of"	1985-12-23
1108	"Jun, Yung Soo "	"Korea, Republic of"	1987-09-22
1109	"Park, Hyo Jong "	"Korea, Republic of"	1984-02-07
1110	"Song, Young Min "	"Korea, Republic of"	1987-09-23
1111	"Song, Byung Hak "	"Korea, Republic of"	1994-05-25
1112	"Lee, Jung Soo "	"Korea, Republic of"	1988-01-13
1113	"Lee, Yoo Seok "	"Korea, Republic of"	1985-10-01
1114	"Ahn, Jung Min "	"Korea, Republic of"	1993-05-24
1115	"Oh, Chang Jong "	"Korea, Republic of"	
1116	"Kim, Min Seok "	"Korea, Republic of"	1982-02-18
1117	Hayder Hussein 	Sweden	1983-06-19
1118	"Jung, Bang Min "	"Korea, Republic of"	1992-02-10
1119	"Kim, Nam Joong "	"Korea, Republic of"	1995-04-20
1120	"Kim, Kyung Deok "	"Korea, Republic of"	1995-01-27
1121	"Kim, Do Kyung "	"Korea, Republic of"	1994-08-19
1122	"Yoon, Deok Man "	"Korea, Republic of"	1988-02-12
1123	Marcus Sebastian Eklöf 	Sweden	1991-02-09
1124	Jian Carlo Morayra Alejo 	Peru	1992-06-03
1125	"Kim, Young Il "	"Korea, Republic of"	1994-08-15
1126	"Cho, Sung Choo "	"Korea, Republic of"	1997-07-28
1127	"Park, Joon Sung "	"Korea, Republic of"	
1128	"Lee, Haeng Seon "	"Korea, Republic of"	1992-09-18
1129	"Park, Ji Soo "	"Korea, Republic of"	1990-02-13
1130	"Jung, Min Ho "	"Korea, Republic of"	
1131	"Lee, Sang Hun "	"Korea, Republic of"	1988-11-27
1132	"Won, Lee Sak "	"Korea, Republic of"	1994-08-24
1133	"Choi, Yun Sik "	"Korea, Republic of"	1989-01-02
1134	"Han, Ki Soo "	"Korea, Republic of"	1992-01-01
1135	"Kang, Dong Hyun "	"Korea, Republic of"	1992-01-02
1136	"Lee, Jong Mi "	"Korea, Republic of"	1980-09-07
1137	"Seo, Ji Soo "	"Korea, Republic of"	1985-05-21
1138	"Liao, Pei Ling "	"Taiwan, Republic of China"	1981-05-24
1139	Johnathan Wendel 	United States	1981-02-26
1140	Manuel Schenkhuizen 	Netherlands	1986-05-11
1141	Dennis Fong 	United States	1977-03-11
1142	John Hill 	United States	1984-11-28
1143	Mark Larsen 	United States	1984-02-02
1144	Paul Nelson 	United States	1984-08-02
1145	Anton Jewgenjewitsch Singov 	Russian Federation	1986-08-05
1146	David Walsh 	United States	1984-06-23
1147	Johan Christer Quick 	Sweden	1984-05-11
1148	Maciej Krzykowsk 	Poland	1991-04-01
1149	James Harding 	United Kingdom	1982-12-29
1150	Alessandro Avallone 	Italy	1987-01-02
1151	Kevin Baéza 	France	1991-02-04
1152	Sander Kaasjager 	Netherlands	1985-06-21
1153	Sebastian Siira 	Sweden	1986-10-09
1154	"Fan, Zhibo "	China	1986-04-03
1155	Marcel Paul 	Germany	1986-12-12
1156	Alexei Yanushevsky 	Belarus	1990-05-17
1157	Shane Hendrixson 	United States	1989-03-16
1158	Ilyes Satouri 	France	1993-03-12
1159	"Choi, Jong Hyuk "	"Korea, Republic of"	1988-08-05
1160	Jonathan Garneau 	Canada	1989-04-06
1161	Giacomo Thüs 	Germany	1987-02-02
1162	Nick De Cesare 	United States	1992-09-15
1163	Rori Bryant-Raible 	United States	1983-11-27
1164	Andrew Moysey 	Canada	1987-12-23
1165	Dario Wünsch 	Germany	1990-07-13
1166	Tyler Wasieleski 	United States	1986-03-15
1167	Victor Goossens 	Netherlands	1983-05-03
1168	Paul-David Pagé 	Canada	1982-12-10
1169	Josh Bland 	United States	
1170	Taylor Parsons 	United States	
1171	Bryce Bates 	United States	1988-01-31
1172	Geoff Robinson 	United States	1985-09-11
1173	"Kim, Min Gyun "	"Korea, Republic of"	1986-08-14
1174	"Lee, Ho Joon "	"Korea, Republic of"	1991-07-23
1175	Juan Carlos Tena Lopez 	Mexico	1993-05-20
1176	Steven Bonnell II	United States	1988-12-12
1177	Aaron Elam 	United States	1993-04-02
1178	Clete LoRusso 	United States	
1179	Ian Wyatt 	United States	
1180	Michael Chaves 	United States	1989-10-25
1181	Timothy Keane 	United States	1991-09-28
1182	Jordan Dotzel 	United States	1995-05-18
1183	Tony Campbell 	United States	1994-01-25
1184	Mason Cobb 	United States	1990-02-17
1185	Bradley Laws 	United States	1994-08-08
1186	Scott K Holste Jr. 	United States	1991-10-02
1187	Weston Price 	United States	1989-12-23
1188	Nick Kershner 	United States	
1189	Kyle Elam 	United States	1988-02-25
1190	Robbie Bordieri 	United States	
1191	Paul Duarte 	United States	1995-05-03
1192	Michael Cavanaugh 	United States	1988-08-30
1193	Ryan Geddes 	United States	1993-08-22
1194	Chris Chapon 	United States	1992-12-12
1195	Kevin Zimmerman 	United States	1991-07-22
1196	Matthew Piper 	United States	1994-12-19
1197	Jason Brown 	United States	1990-07-06
1198	Justin Brown 	United States	1990-07-06
1199	Anthony Pennacchio 	United States	1993-04-11
1200	Tom Taylor 	United States	1987-10-15
1201	Ryan Means 	United States	1993-06-15
1202	Eric Hewitt 	United States	1988-06-09
1203	Eric Wrona 	United States	1991-05-03
1204	Joseph Campbell 	United States	
1205	Nick Grande 	United States	
1206	Sean Swidersky 	United States	
1207	Jacob Santos 	United States	
1208	Mathew Fiorante 	Canada	1996-05-27
1209	Tom Ryan 	United States	1986-08-03
1210	Justin Lee Deese 	United States	1992-11-20
1211	Bryan Rizzo 	United States	1990-06-04
1212	Brett Leonard 	United States	1990-05-31
1213	Richie Heinz 	United States	1992-02-26
1214	Sammy Satullo 	United States	
1215	Joey Gargaro 	United States	1995-04-12
1216	Ian Porter 	United States	1993-05-29
1217	Lee Santos 	United States	
1218	Cameron Thorlakson 	United States	1989-10-07
1219	Tyler Blevins 	United States	1991-06-05
1220	Justin Kats 	United States	1989-03-10
1221	Faisal Khan 	United States	1994-03-31
1222	Alex Ramirez 	United States	1991-02-09
1223	Justin Tyler Mozingo 	United States	1993-06-20
1224	Alan Montgomery 	United States	
1225	Grzegorz Komincz 	Poland	1993-12-14
1226	Mihaylo Hayda 	Ukraine	1988-11-25
1227	Artur Bloch 	Poland	1992-08-09
1228	Aleksandar Krstić 	Serbia	1990-12-29
1229	Tomasz Boro&amp;#324; 	Poland	1986-04-11
1230	Felipe Pipe Zuñiga 	Chile	1989-12-16
1231	Marcin Wieczorek 	Poland	
1232	Samuli Sihvonen 	Finland	1990-10-24
1233	Dennis Schneider 	Germany	1988-05-26
1234	Eugin Oparyshev 	Ukraine	1985-05-25
1235	"Yang, Han Yu "	China	
1236	"Hui Cao, Jin "	China	1995-10-10
1237	"Zhu, Xing Biao "	China	
1238	Jared Krensel 	Australia	1988-12-11
1239	"Wang, Lei "	China	1987-01-14
1240	Ethan Zugai 	Australia	1990-11-09
1241	Benjamin Brewer 	United States	
1242	Nick Ranish 	United States	1985-11-12
1243	Andrew Golec 	Canada	1988-02-04
1244	Cong Shu 	United States	
1245	Nick Taber 	United States	1995-08-05
1246	Josh Yang 	United States	
1247	Sergei Rodionov 	Russian Federation	1986-01-15
1248	Jérémy Vansnick 	Belgium	1993-06-14
1249	Kristoffer Colin Marthinsen 	Norway	1990-04-15
1250	Silviu Lazar 	Romania	1988-02-19
1251	Kevin Riley 	United States	1989-10-11
1252	Oleg Kuptsov 	Russian Federation	1989-11-04
1253	"Oh, Jin Sil "	"Korea, Republic of"	
1254	Benjamin James Baker 	United Kingdom	1990-01-24
1255	Jonathan Belke 	Germany	
1256	Artem Garavtsov 	Russian Federation	1989-08-27
1257	Jens Aasgaard 	Norway	1990-07-28
1258	Han Sang Cho 	Switzerland	1988-09-13
1259	Daniel Spenst 	Germany	1991-09-27
1260	Vitor Ferreira 	Brazil	1985-01-17
1261	Chris Lee 	United States	1996-03-04
1262	Aderson Santos 	Brazil	1984-02-14
1263	Renan Guilhem 	Brazil	
1264	Pavel Kuznetsov 	Russian Federation	1987-01-03
1265	"Seung Hyuk, Hwang "	"Korea, Republic of"	1992-08-01
1266	Benoît Strypsteen 	France	1985-09-23
1267	Abdulaziz Abed 	United States	1991-12-09
1268	Sascha Lupp 	Germany	1985-10-27
1269	Christoph Semke 	Germany	1986-12-12
1270	René Krag 	Denmark	1986-12-06
1271	Georgi Marinov 	Bulgaria	
1272	"Bae, Sang Hwan "	"Korea, Republic of"	1993-12-24
1273	Olivier Bellemans 	Belgium	1987-06-19
1274	Tobias Nilsson 	Sweden	1988-05-19
1275	Juha-Matti Bäckström 	Finland	1987-06-16
1276	Pedro Moreno Durán 	Spain	1991-10-31
1277	Tomáš Pospíšil 	Czech Republic	1989-10-09
1278	Aurélien Sannier 	France	1988-02-28
1279	Łukasz Czarnecki 	Poland	1988-01-18
1280	Juan Moreno Durán 	Spain	1993-09-10
1281	Jimmy Wölfinger 	Sweden	1988-03-09
1282	Anton Plebanovich 	Belarus	1986-10-02
1283	Marvin Gebhart 	Germany	
1284	Dominik Rogacki 	Poland	
1285	Aleksandr Svusuyk 	Ukraine	1989-01-22
1286	Kristijonas Barisas 	Lithuania	1989-09-24
1287	Philipp Simon 	Austria	
1288	Dmitry Kostin 	Russian Federation	1991-06-17
1289	Sterling Kolde 	United States	
1290	"Ahn, Min Woo "	"Korea, Republic of"	
1291	"Lee, Dong Yeon "	Canada	
1292	"Yoo, Young Joon "	"Korea, Republic of"	1994-01-01
1293	"Choi, Min Soo "	"Korea, Republic of"	
1294	"Moon, Hak Seon "	"Korea, Republic of"	1987-05-08
1295	"Kim, Seong Han "	"Korea, Republic of"	1992-09-16
1296	"Kim, Hyun Mok "	"Korea, Republic of"	
1297	"Kim, Hyo Jong "	"Korea, Republic of"	1992-06-22
1298	"Kim, Han Byul "	"Korea, Republic of"	1992-11-02
1299	"Choi, Kyung Min "	"Korea, Republic of"	1994-11-27
1301	Diogo Barbosa 	Portugal	
1302	Carlo Giannacco 	Italy	1987-05-31
1303	John Seipel 	Sweden	
1304	Arthur Roskos 	Germany	1987-10-27
1305	Tim Fogarty 	United States	1988-07-19
1306	Alexander Ihrfors 	Sweden	
1307	Michaël Bignet 	France	1987-06-13
1308	Pierre-Émeric Portier 	France	1987-10-01
1309	Pelle Söderman 	Sweden	1985-02-03
1310	Patrik Sirén 	Sweden	
1311	David Alexander Kinnaird 	United Kingdom	1984-06-20
