rank	country	code	point	prev_point	prev_rank	
1	Spain	ESP	1564	1564	0
2	Netherlands	NED	1365	1365	0
3	Germany	GER	1345	1345	0
4	Uruguay	URU	1309	1309	0
5	England	ENG	1173	1173	0
6	Brazil	BRA	1143	1143	0
7	Portugal	POR	1100	1100	0
8	Croatia	CRO	1091	1091	0
9	Italy	ITA	1082	1082	0
10	Argentina	ARG	1067	1067	0
11	Denmark	DEN	1032	1035	0
12	Chile	CHI	973	970	1
13	Russia	RUS	971	971	-1
14	Greece	GRE	964	964	0
15	France	FRA	915	915	0
16	Switzerland	SUI	898	898	1
17	Sweden	SWE	891	891	1
18	Cote d`Ivoire	CIV	889	912	-2
19	Bosnia and Herzegovina	BIH	869	869	1
19	Japan	JPN	869	884	0
21	Mexico	MEX	866	866	0
21	Australia	AUS	866	851	2
23	Republic of Ireland	IRL	864	864	-1
24	Norway	NOR	788	788	1
25	Slovenia	SVN	780	780	1
26	Ghana	GHA	779	761	3
27	Paraguay	PAR	775	795	-3
27	Serbia	SRB	775	775	0
29	Turkey	TUR	769	769	-1
30	Korea Republic	KOR	752	752	2
31	Czech Republic	CZE	749	749	2
32	Algeria	ALG	734	758	-2
33	USA	USA	721	721	1
34	Peru	PER	712	712	1
35	Colombia	COL	709	709	1
36	Egypt	EGY	698	755	-5
37	Hungary	HUN	665	665	0
37	Israel	ISR	665	665	0
39	Slovakia	SVK	648	648	1
40	Belgium	BEL	647	647	1
41	Venezuela	VEN	642	661	-2
42	Ecuador	ECU	634	634	0
43	Senegal	SEN	625	625	1
44	Iran	IRN	623	616	1
45	Armenia	ARM	612	612	1
45	Nigeria	NGA	612	627	-2
47	Panama	PAN	600	589	2
48	Scotland	SCO	599	599	-1
49	Wales	WAL	591	591	-1
50	Montenegro	MNE	585	585	1
51	Honduras	HON	579	574	2
52	Jamaica	JAM	573	573	2
52	Estonia	EST	573	555	5
54	Ukraine	UKR	568	568	1
55	Romania	ROU	562	562	1
56	Cameroon	CMR	551	588	-6
56	South Africa	RSA	551	577	-4
58	Cape Verde Islands	CPV	549	549	0
59	Tunisia	TUN	541	537	0
60	Sierra Leone	SLE	533	526	0
61	Morocco	MAR	523	524	0
62	Costa Rica	CRC	522	495	3
63	Libya	LBY	514	514	0
64	El Salvador	SLV	506	463	5
65	Belarus	BLR	501	501	-1
66	Burkina Faso	BFA	499	518	-4
67	Uzbekistan	UZB	495	449	8
68	Poland	POL	494	492	-2
69	Mali	MLI	476	472	-2
70	Latvia	LVA	466	466	-2
71	Zambia	ZAM	459	439	8
71	Austria	AUT	459	459	-1
73	Iraq	IRQ	457	440	5
74	Canada	CAN	455	455	-2
74	China PR	CHN	455	457	-3
76	Georgia	GEO	451	451	-3
77	Albania	ALB	450	450	-3
78	Trinidad and Tobago	TRI	447	448	-2
79	Guinea	GUI	436	436	1
80	Haiti	HAI	433	429	1
81	Jordan	JOR	426	417	1
82	Uganda	UGA	411	398	7
83	Bulgaria	BUL	410	410	1
84	Antigua and Barbuda	ATG	407	404	3
85	Angola	ANG	405	412	-2
85	Finland	FIN	405	405	1
87	Northern Ireland	NIR	403	403	1
87	Saudi Arabia	KSA	403	363	9
89	Guatemala	GUA	400	397	1
90	Oman	OMA	393	408	-5
91	Gabon	GAB	387	445	-14
92	Guyana	GUY	386	387	-1
93	Lithuania	LTU	382	382	-1
94	Botswana	BOT	373	371	1
95	Kuwait	KUW	372	351	4
95	Bahrain	BHR	372	350	6
97	Qatar	QAT	364	378	-4
98	Niger	NIG	361	361	-1
99	Malawi	MWI	359	374	-5
100	Togo	TOG	350	350	1
