rank	country	code	point	prev_point	prev_rank	
1	Brazil	BRA	72	72	0
2	Germany	GER	66	65	0
3	Czech Republic	CZE	62	64	0
4	Mexico	MEX	61	61	0
5	England	ENG	60	60	0
6	Netherlands	NED	60	55	19
7	Argentina	ARG	59	56	10
8	Chile	CHI	59	59	-1
9	Japan	JPN	58	58	0
10	Norway	NOR	58	58	0
11	Morocco	MAR	58	58	2
12	Yugoslavia	YUG	58	58	-4
13	Italy	ITA	58	58	1
14	France	FRA	58	59	-8
15	Romania	ROU	57	58	-4
16	USA	USA	57	58	-4
17	Colombia	COL	57	58	-2
18	Croatia	CRO	56	56	-2
19	Zambia	ZAM	56	55	-1
20	South Africa	RSA	56	52	16
21	Egypt	EGY	56	54	5
22	Tunisia	TUN	56	55	-3
23	Russia	RUS	55	55	-1
24	Korea Republic	KOR	55	55	-4
25	Spain	ESP	55	55	-2
26	Denmark	DEN	55	55	-2
27	Sweden	SWE	54	55	-6
28	Austria	AUT	54	54	-1
29	Bolivia	BOL	54	54	-1
30	Paraguay	PAR	53	53	0
31	Belgium	BEL	53	50	10
32	Ecuador	ECU	53	53	-1
33	Jamaica	JAM	52	52	0
34	Saudi Arabia	KSA	52	52	-2
35	Australia	AUS	52	52	0
36	Slovakia	SVK	52	53	-7
37	Scotland	SCO	52	52	0
38	Bulgaria	BUL	51	51	0
39	Peru	PER	51	51	0
40	Portugal	POR	51	52	-6
41	Uruguay	URU	50	50	-1
42	Cote d`Ivoire	CIV	48	48	3
43	Kuwait	KUW	47	48	1
44	Turkey	TUR	47	48	-1
45	Iran	IRN	47	47	2
46	Israel	ISR	46	40	17
47	Lithuania	LTU	46	47	1
48	Cameroon	CMR	46	46	1
49	Costa Rica	CRC	46	47	-3
50	Republic of Ireland	IRL	46	46	0
51	Trinidad and Tobago	TRI	46	46	0
52	Greece	GRE	46	48	-10
53	Ukraine	UKR	45	45	-1
54	United Arab Emirates	UAE	45	45	-1
55	China PR	CHN	45	44	2
56	Georgia	GEO	44	44	-1
57	Angola	ANG	44	44	1
58	Ghana	GHA	44	45	-4
59	Algeria	ALG	43	44	0
60	Thailand	THA	43	44	-4
61	Poland	POL	43	43	-1
62	Guinea	GUI	42	42	-1
63	Zaire	ZAI	41	36	19
64	Finland	FIN	41	41	-2
65	Nigeria	NGA	40	39	2
66	Honduras	HON	40	40	-2
67	El Salvador	SLV	40	40	-2
68	Mali	MLI	39	39	1
69	Switzerland	SUI	39	39	-1
70	Guatemala	GUA	39	39	1
71	Iraq	IRQ	39	39	-1
72	Gabon	GAB	38	40	-6
73	Canada	CAN	38	38	-1
74	Mozambique	MOZ	38	38	0
75	Burkina Faso	BFA	38	37	0
76	Qatar	QAT	38	38	-3
77	Latvia	LVA	37	37	-1
78	Iceland	ISL	37	37	-1
79	Cyprus	CYP	37	37	1
80	Namibia	NAM	37	37	-2
81	Togo	TOG	36	37	-2
82	Hungary	HUN	36	36	2
83	Uzbekistan	UZB	36	36	2
84	Oman	OMA	36	36	3
85	Senegal	SEN	36	36	-4
86	Slovenia	SVN	36	36	0
87	Sierra Leone	SLE	35	36	1
88	Malaysia	MAS	34	34	1
89	Indonesia	IDN	33	33	2
90	Cuba	CUB	33	34	0
91	FYR Macedonia	MKD	33	33	1
92	Zimbabwe	ZIM	32	36	-9
93	Kenya	KEN	32	33	0
94	Tanzania	TAN	32	32	1
95	Lebanon	LIB	31	31	2
96	Liberia	LBR	31	32	0
97	Syria	SYR	31	31	1
98	Northern Ireland	NIR	31	31	1
99	Malawi	MWI	30	33	-5
100	Albania	ALB	28	29	2
