rank	country	code	point	prev_point	prev_rank	
1	Spain	ESP	1564	1564	0
2	Netherlands	NED	1365	1365	0
3	Germany	GER	1345	1345	0
4	Uruguay	URU	1309	1309	0
5	England	ENG	1173	1173	0
6	Brazil	BRA	1143	1143	0
7	Portugal	POR	1100	1100	0
8	Croatia	CRO	1091	1091	0
9	Italy	ITA	1082	1082	0
10	Argentina	ARG	1067	1067	0
11	Denmark	DEN	1035	1035	0
12	Russia	RUS	971	971	0
13	Chile	CHI	970	970	0
14	Greece	GRE	964	964	0
15	France	FRA	915	915	0
16	Cote d`Ivoire	CIV	912	912	0
17	Switzerland	SUI	898	898	0
18	Sweden	SWE	891	891	0
19	Japan	JPN	884	884	0
20	Bosnia and Herzegovina	BIH	869	838	3
21	Mexico	MEX	866	866	-1
22	Republic of Ireland	IRL	864	864	-1
23	Australia	AUS	851	851	-1
24	Paraguay	PAR	795	795	0
25	Norway	NOR	788	788	0
26	Slovenia	SVN	780	780	0
27	Serbia	SRB	775	775	0
28	Turkey	TUR	769	769	0
29	Ghana	GHA	761	761	0
30	Algeria	ALG	758	758	0
31	Egypt	EGY	755	757	0
32	Korea Republic	KOR	752	752	0
33	Czech Republic	CZE	749	749	0
34	USA	USA	721	721	0
35	Peru	PER	712	712	0
36	Colombia	COL	709	709	0
37	Hungary	HUN	665	665	0
37	Israel	ISR	665	665	0
39	Venezuela	VEN	661	661	0
40	Slovakia	SVK	648	648	0
41	Belgium	BEL	647	647	0
42	Ecuador	ECU	634	630	0
43	Nigeria	NGA	627	627	0
44	Senegal	SEN	625	625	0
45	Iran	IRN	616	616	0
46	Armenia	ARM	612	612	0
47	Scotland	SCO	599	599	2
48	Wales	WAL	591	591	2
49	Panama	PAN	589	585	2
50	Cameroon	CMR	588	602	-2
51	Montenegro	MNE	585	585	0
52	South Africa	RSA	577	577	1
53	Honduras	HON	574	570	1
54	Jamaica	JAM	573	609	-7
55	Ukraine	UKR	568	568	0
56	Romania	ROU	562	562	0
57	Estonia	EST	555	543	1
58	Cape Verde Islands	CPV	549	544	-1
59	Tunisia	TUN	537	537	0
60	Sierra Leone	SLE	526	521	1
61	Morocco	MAR	524	524	-1
62	Burkina Faso	BFA	518	518	0
63	Libya	LBY	514	514	0
64	Belarus	BLR	501	501	1
65	Costa Rica	CRC	495	503	-1
66	Poland	POL	492	487	0
67	Mali	MLI	472	472	0
68	Latvia	LVA	466	466	0
69	El Salvador	SLV	463	463	0
70	Austria	AUT	459	459	1
71	China PR	CHN	457	455	1
72	Canada	CAN	455	455	0
73	Georgia	GEO	451	451	1
74	Albania	ALB	450	450	1
75	Uzbekistan	UZB	449	449	1
76	Trinidad and Tobago	TRI	447	409	10
77	Gabon	GAB	445	445	0
78	Iraq	IRQ	440	429	3
79	Zambia	ZAM	439	436	0
80	Guinea	GUI	436	436	-1
81	Haiti	HAI	429	438	-3
82	Jordan	JOR	417	419	0
83	Angola	ANG	412	412	1
84	Bulgaria	BUL	410	410	1
85	Oman	OMA	408	387	8
86	Finland	FIN	405	405	2
87	Antigua and Barbuda	ATG	404	418	-4
88	Northern Ireland	NIR	403	403	1
89	Uganda	UGA	398	394	2
90	Guatemala	GUA	397	397	0
91	Guyana	GUY	387	370	6
92	Lithuania	LTU	382	382	2
93	Qatar	QAT	378	375	2
94	Malawi	MWI	374	407	-7
95	Botswana	BOT	371	371	1
96	Saudi Arabia	KSA	363	361	2
97	Niger	NIG	361	361	1
98	Zimbabwe	ZIM	354	462	-28
99	Kuwait	KUW	351	351	1
99	Vietnam	VIE	351	234	35
